Food,Yellow 5,Yellow 6,Red 40,Red 3,Blue 1,Yellow 5 SD,Yellow 6 SD,Red 40 SD,Red 3 SD,Blue 1 SD
Breakfast Cereal,0.0922050,0.1876550,0.0495350,0.0000000,0.0181600,3.2588520,1.5211300,1.2127656,0.0000000,0.2689423
Decoration Chips,0.0576000,0.0332300,0.0369700,0.1138700,0.0801250,1.5347726,1.0518636,1.1123648,1.4545505,1.0415908
Powder Drink,0.1290800,0.0641600,0.3903150,0.0000000,0.0001000,4.2907361,2.0545550,12.5407767,0.0000000,0.0034351
Frozen Dessert,0.0052800,0.0083000,0.0561100,0.0658400,0.0018950,0.1819199,0.2760878,1.3993326,3.3067751,0.0602655
Fruit Snacks - Red,0.0000000,0.0012500,0.1481350,0.0000000,0.0003400,0.0000000,0.0111803,0.7743114,0.0000000,0.0115694
Fruit Snacks - Blue,0.0000000,0.0000000,0.0044300,0.0000000,0.0616200,0.0000000,0.0000000,0.0670403,0.0000000,0.0702026
Fruit Snacks - Orange,0.0000000,0.1027900,0.0068800,0.0000000,0.0000000,0.0000000,0.6855818,0.0407934,0.0000000,0.0000000
Fruit Snacks - Yellow,0.1030450,0.0000000,0.0022550,0.0000000,0.0000000,1.7088334,0.0000000,0.1022948,0.0000000,0.0000000
Fruit Snacks - Purple,0.0000000,0.0011900,0.1491200,0.0000000,0.0041900,0.0000000,0.0101193,0.7421866,0.0000000,0.0357337
Ice Cream Cones - Purple,0.0000000,0.0000000,0.0000000,0.0670200,0.1907800,0.0000000,0.0000000,0.0000000,0.9316070,0.9382478
Ice Cream Cones - Blue,0.0000000,0.0000000,0.0000000,0.0000000,0.9000300,0.0000000,0.0000000,0.0000000,0.0000000,5.3312839
Ice Cream Cones - Pink,0.0000000,0.0000000,0.0000000,0.2287800,0.0000000,0.0000000,0.0000000,0.0000000,2.6202633,0.0000000
Ice Cream Cones - Brown,0.0000000,0.2733300,0.2848300,0.0000000,0.0687100,0.0000000,0.7453488,0.9410938,0.0000000,0.1207990
Ice Cream Cones - Red,0.0000000,0.0000000,0.0000000,0.2979500,0.0000000,0.0000000,0.0000000,0.0000000,0.2751182,0.0000000
Ice Cream Cones - Green,0.5927300,0.0000000,0.0000000,0.0000000,0.2811600,1.3740096,0.0000000,0.0000000,0.0000000,9.3761533
Juice Drinks - Blue,0.0000000,0.0000000,0.0000000,0.0000000,0.0064500,0.0000000,0.0000000,0.0000000,0.0000000,0.0234009
Juice Drinks - Red,0.0000000,0.0000000,0.0301450,0.0000000,0.0000000,0.0000000,0.0000000,0.4277954,0.0000000,0.0000000
Juice Drinks - Green,0.0068900,0.0000000,0.0000000,0.0000000,0.0001900,0.0020800,0.0000000,0.0000000,0.0000000,0.0000300
Juice Drinks - Purple,0.0000000,0.0000000,0.0507300,0.0000000,0.0043000,0.0000000,0.0000000,0.0713017,0.0000000,0.0272820
Soft Drinks,0.0137867,0.0201067,0.0337067,0.0000000,0.0000167,0.6164473,1.3433170,1.4140982,0.0000000,0.0007471
Water Enhancers,0.3525850,0.0000000,0.7061000,0.0000000,0.1022450,11.1506208,0.0000000,1.5355630,0.0000000,1.9105284
Frostings Icings,0.0020967,0.0005867,0.0034233,0.0311767,0.1258967,0.0937746,0.0262589,0.1531027,1.2907946,11.3560549